Zipcode,Population
78050,468.0
78055,2001.0
78070,15338.0
78851,31.0
78852,55307.0
78880,1850.0
78883,325.0
78949,784.0
78959,2250.0
78744,47211.0
78748,47966.0
78829,1376.0
78830,782.0
78838,220.0
78756,8798.0
78140,3476.0
78221,38289.0
78357,2965.0
78570,35123.0
78654,18086.0
78028,40103.0
78101,6773.0
78102,28714.0
78119,7446.0
78152,2179.0
78154,37405.0
78160,4607.0
78164,3320.0
78204,11723.0
78212,28433.0
78215,2302.0
78217,33635.0
78226,6071.0
08640,8246.0
08730,4745.0
08822,30669.0
11793,31642.0
11801,40713.0
11933,7386.0
11939,911.0
11946,13693.0
11960,490.0
11963,6710.0
11971,6327.0
11975,308.0
11509,2329.0
11552,24417.0
11375,71159.0
11420,50549.0
11435,57627.0
11553,26160.0
11559,8709.0
11565,8640.0
11545,12694.0
11563,22551.0
11569,1229.0
11581,21406.0
11691,64946.0
11701,28139.0
11720,28823.0
11726,21688.0
11738,17067.0
11743,42531.0
11693,12021.0
11944,4208.0
11954,3510.0
11956,250.0
11959,815.0
11964,2263.0
11368,112982.0
11385,103372.0
11412,37802.0
11414,28247.0
11430,179.0
11518,10192.0
11542,27676.0
11548,2858.0
11558,8323.0
11560,6354.0
11579,5128.0
11694,21219.0
11697,3928.0
11703,16508.0
11729,27311.0
11732,3856.0
11747,19061.0
11751,14313.0
11758,54929.0
08533,6178.0
11768,21375.0
11772,45243.0
11782,15346.0
15331,726.0
15345,1484.0
15351,664.0
15928,1990.0
15942,2197.0
15954,2179.0
15693,214.0
15695,352.0
15739,403.0
15754,578.0
15761,101.0
15772,1641.0
15776,62.0
15783,86.0
15821,156.0
15827,270.0
15829,1498.0
15849,1232.0
15925,151.0
15943,3615.0
15346,522.0
15362,693.0
15428,2060.0
15445,2615.0
15460,105.0
15472,261.0
15476,69.0
15522,11804.0
15530,5307.0
15534,880.0
15550,1578.0
15610,3799.0
15611,779.0
15617,383.0
15622,1045.0
15623,656.0
15633,318.0
15646,224.0
15661,650.0
15087,220.0
15060,786.0
15082,149.0
15088,515.0
15131,8265.0
15132,21577.0
15137,9987.0
15208,10304.0
15823,1481.0
15832,297.0
15841,267.0
15847,221.0
15860,1084.0
15865,1304.0
15688,1017.0
15692,1041.0
15714,5170.0
15723,22.0
15218,13757.0
15235,34136.0
16832,692.0
16845,967.0
16853,187.0
16914,2208.0
16153,2483.0
06606,47671.0
06610,22921.0
06706,14637.0
06708,28310.0
06763,1976.0
06784,3690.0
06793,1277.0
06798,9723.0
06801,19384.0
06830,25342.0
06870,7662.0
06902,67879.0
06905,19866.0
06023,1278.0
06019,10289.0
06020,0.0
06021,400.0
06040,35616.0
06053,34531.0
06058,1535.0
06062,17772.0
06068,1682.0
06070,14996.0
06110,12110.0
06112,22891.0
06232,3211.0
06237,5456.0
06241,6830.0
06027,1456.0
06031,1384.0
06066,29206.0
06106,38010.0
06117,16788.0
06231,3772.0
06235,2265.0
06238,12446.0
06248,5808.0
06250,4851.0
06254,1965.0
06259,4394.0
06277,3911.0
06280,3122.0
06340,31467.0
06355,12310.0
06360,37153.0
06370,7418.0
06384,2887.0
06405,27901.0
06412,4290.0
06419,6464.0
06471,7733.0
06489,33408.0
06518,19407.0
06519,16654.0
12956,1228.0
12961,361.0
12969,429.0
12970,952.0
12980,1309.0
12912,2280.0
13642,9922.0
13654,3032.0
13656,2840.0
13659,527.0
13660,1781.0
13669,16103.0
13682,978.0
13697,2068.0
13118,6156.0
13120,2167.0
13131,3830.0
13614,256.0
13624,5764.0
13625,2010.0
13626,2232.0
13037,8948.0
13044,2172.0
13053,4538.0
13846,270.0
13850,22291.0
13861,352.0
13862,4504.0
13155,638.0
13078,10149.0
13639,201.0
13756,447.0
13042,2643.0
13135,6655.0
13327,1926.0
13413,16370.0
13502,32370.0
13342,213.0
13619,10863.0
13730,2799.0
13476,3212.0
13615,1094.0
13679,1969.0
13812,2509.0
13440,42257.0
13308,2697.0
13460,4230.0
13807,1224.0
13808,1534.0
13069,24927.0
13674,141.0
13677,85.0
13678,263.0
13692,43.0
13695,141.0
13696,30.0
13751,167.0
13784,107.0
13794,29.0
11721,5995.0
11731,29743.0
11777,8958.0
11783,21823.0
11786,6017.0
11787,36040.0
12913,1219.0
12926,2024.0
12942,872.0
12945,532.0
12952,578.0
12953,15517.0
12955,426.0
12957,1755.0
12960,1335.0
12966,3164.0
12967,1178.0
12972,5702.0
12306,25098.0
12401,34661.0
12410,504.0
12424,225.0
12431,1272.0
12444,380.0
12451,1861.0
12454,301.0
12457,802.0
13072,619.0
13077,6961.0
13108,6125.0
13156,2232.0
13164,2404.0
13202,5840.0
13204,19503.0
13207,13153.0
13290,0.0
13303,1115.0
13309,5806.0
13313,511.0
13314,484.0
13322,797.0
13021,38756.0
13304,1679.0
13110,2290.0
13126,36566.0
13145,2047.0
13206,16142.0
13039,17707.0
13083,1704.0
13101,2263.0
13114,6815.0
13140,4536.0
13142,5996.0
13146,2077.0
13160,1958.0
13166,5534.0
13205,18377.0
13210,27822.0
13212,20645.0
02188,15347.0
02420,14325.0
02465,11875.0
02466,8573.0
02472,33874.0
02534,952.0
02538,3228.0
02630,2355.0
02639,2435.0
02670,1325.0
02723,14162.0
02725,2320.0
02806,16304.0
02816,32647.0
02828,7479.0
02832,4839.0
02838,3667.0
02864,34228.0
02878,15795.0
02892,4651.0
02893,29450.0
02895,41272.0
02910,21024.0
02914,21575.0
02915,16892.0
02921,12561.0
02919,29126.0
02019,16833.0
02052,12510.0
02061,10845.0
02066,17978.0
02071,1686.0
02116,23004.0
02124,52986.0
02132,28292.0
02143,26800.0
02150,38237.0
02155,59348.0
02169,55876.0
02189,15076.0
02191,8292.0
02199,1260.0
02043,22901.0
02048,23615.0
02050,25961.0
02062,29018.0
02072,28260.0
02110,2124.0
02113,7495.0
02122,24624.0
02125,36353.0
02128,46208.0
02139,36338.0
02140,19604.0
02148,60812.0
02152,18031.0
02190,16886.0
02302,34154.0
05450,5195.0
97015,21677.0
97037,1032.0
97065,535.0
97113,14440.0
97123,47729.0
97133,3826.0
97138,9761.0
97326,1026.0
97204,1033.0
97212,26256.0
97215,17499.0
97321,26729.0
97350,206.0
97814,12265.0
97835,332.0
97867,896.0
97874,369.0
97905,160.0
97907,419.0
97918,4201.0
97850,16833.0
97864,190.0
97910,550.0
